matricula,data,codigo_situacao
37684,15/12/2025,15
37636,15/12/2025,15
37635,15/12/2025,15
37632,15/12/2025,15
37624,15/12/2025,15
37617,15/12/2025,15
37565,15/12/2025,15
37145,15/12/2025,15
37012,15/12/2025,15
36983,15/12/2025,15
36941,15/12/2025,15
36938,15/12/2025,15
36934,15/12/2025,15
36930,15/12/2025,15
36928,15/12/2025,15
36756,15/12/2025,15
36631,15/12/2025,15
36523,15/12/2025,15
36476,15/12/2025,15
36473,15/12/2025,15
36472,15/12/2025,15
36455,15/12/2025,15
36445,15/12/2025,15
36331,15/12/2025,15
36284,15/12/2025,15
36218,15/12/2025,15
35548,15/12/2025,15
35547,15/12/2025,15
35515,15/12/2025,15
35453,15/12/2025,15
35260,15/12/2025,15
35255,15/12/2025,15
35230,15/12/2025,15
35167,15/12/2025,15
35091,15/12/2025,15
35082,15/12/2025,15
35079,15/12/2025,15
35078,15/12/2025,15
35075,15/12/2025,15
35067,15/12/2025,15
35052,15/12/2025,15
35048,15/12/2025,15
35010,15/12/2025,15
34981,15/12/2025,15
34979,15/12/2025,15
34673,15/12/2025,15
34470,15/12/2025,15
34468,15/12/2025,15
34465,15/12/2025,15
34409,15/12/2025,15
34398,15/12/2025,15
34296,15/12/2025,15
34189,15/12/2025,15
34172,15/12/2025,15
34165,15/12/2025,15
34108,15/12/2025,15
33949,15/12/2025,15
33910,15/12/2025,15
33837,15/12/2025,15
33749,15/12/2025,15
33443,15/12/2025,15
33363,15/12/2025,15
33361,15/12/2025,15
33307,15/12/2025,15
33299,15/12/2025,15
33232,15/12/2025,15
33199,15/12/2025,15
33115,15/12/2025,15
33088,15/12/2025,15
32945,15/12/2025,15
32828,15/12/2025,15
32716,15/12/2025,15
32614,15/12/2025,15
32613,15/12/2025,15
32583,15/12/2025,15
32565,15/12/2025,15
32545,15/12/2025,15
32139,15/12/2025,15
32103,15/12/2025,15
31960,15/12/2025,15
31891,15/12/2025,15
31871,15/12/2025,15
31363,15/12/2025,15
31334,15/12/2025,15
30922,15/12/2025,15
30909,15/12/2025,15
30894,15/12/2025,15
30805,15/12/2025,15
30396,15/12/2025,15
30352,15/12/2025,15
30349,15/12/2025,15
30195,15/12/2025,15
30174,15/12/2025,15
30026,15/12/2025,15
29996,15/12/2025,15
29990,15/12/2025,15
29776,15/12/2025,15
29008,15/12/2025,15
28758,15/12/2025,15
28748,15/12/2025,15
28664,15/12/2025,15
28650,15/12/2025,15
28647,15/12/2025,15
28240,15/12/2025,15
28226,15/12/2025,15
27504,15/12/2025,15
27474,15/12/2025,15
27445,15/12/2025,15
27057,15/12/2025,15
25936,15/12/2025,15
25916,15/12/2025,15
25673,15/12/2025,15
25656,15/12/2025,15
25610,15/12/2025,15
25594,15/12/2025,15
25576,15/12/2025,15
23592,15/12/2025,15
22726,15/12/2025,15
22379,15/12/2025,15
21734,15/12/2025,15
19789,15/12/2025,15
