matricula;data;codigo_situacao
303-1-32731;04/09/2025;15
303-1-32853;28/09/2025;15
303-1-35079;29/09/2025;15
303-1-35079;29/09/2025;15
303-1-32875;20/09/2025;15
303-1-32875;20/09/2025;15
303-1-36969;20/09/2025;15
303-1-33115;10/09/2025;15
303-1-31489;28/09/2025;15
303-1-32677;29/09/2025;15
303-1-32852;27/09/2025;15
303-1-27385;13/09/2025;15
303-1-20751;09/09/2025;15
303-1-20751;08/09/2025;15
303-1-20510;28/09/2025;15
303-1-20510;19/09/2025;15
303-1-33908;22/09/2025;15
303-1-33722;27/09/2025;15
303-1-27502;27/09/2025;15
303-1-32581;15/09/2025;15
303-1-29516;16/09/2025;15
303-1-27469;01/09/2025;15
303-1-31884;09/09/2025;15
303-1-26103;06/09/2025;15
303-1-31483;12/09/2025;15
303-1-33190;29/09/2025;15
303-1-33190;25/09/2025;15
303-1-33800;03/09/2025;15
303-1-26002;13/09/2025;15
303-1-32977;04/09/2025;15
303-1-32321;19/09/2025;15
303-1-27054;26/09/2025;15
303-1-27054;25/09/2025;15
303-1-34056;27/09/2025;15
303-1-33213;22/09/2025;15
303-1-33307;28/09/2025;15
303-1-33359;18/09/2025;15
303-1-33359;15/09/2025;15
303-1-26907;22/09/2025;15
303-1-34296;28/09/2025;15
303-1-27885;30/09/2025;15
303-1-34108;08/09/2025;15
303-1-34108;30/09/2025;15
303-1-28654;05/09/2025;15
303-1-32733;15/09/2025;15
303-1-34062;02/09/2025;15
303-1-19780;30/09/2025;15
303-1-15422;01/09/2025;15
303-1-25766;19/09/2025;15
303-1-25850;17/09/2025;15
303-1-28348;05/09/2025;15
303-1-28316;16/09/2025;15
303-1-25610;2025-09-29;221
303-1-13467;2025-09-30;221
303-1-35078;2025-09-29;221
303-1-36303;2025-09-29;221
303-1-36289;2025-09-29;221
